target_mean,target_std,multiply_mean
30.4,2.8000000000000003,858.5570924647152
342.2,7.547184905645283,125908.69879047871
1065.8,31.00580590792634,1165793.3827721835
2255.8,63.13921127160206,5078764.57956438
3576.8,156.3859328712145,12984278.76417904
5261.2,170.7271507405896,27818985.15699949
6774.4,108.95430234736028,45846563.875635624
8214.8,170.1839005311607,67831361.96048746
9421.6,223.71106365130893,89145241.20401736
10322.0,242.64624456191362,108606956.13293704
11084.6,295.5737471427393,123765770.72442126
11514.0,273.65745010870796,132803019.82889256
11697.6,136.359231444006,136386754.02585238
11336.6,189.75099472730042,128953266.94136643
11058.6,150.43749532613205,121556572.82565601
10286.4,247.51614088782168,106252702.75876462
9660.0,267.79544432271433,93854267.58697936
8896.8,201.14611604502832,79356946.08969799
7981.8,208.72029129914512,64072330.52097392
7125.6,258.86104380535903,50377550.19973465
6192.2,248.22038594764936,38217193.67720604
5386.0,214.0812929706844,29148753.399222456
4592.2,258.2490271036853,20721659.079503722
3953.8,254.87753922227043,15525854.34130854
3210.0,251.94126299596104,10361101.148758948
2666.4,197.98141326902382,7006038.842544289
2138.6,205.2925717116915,4602054.494266193
1655.6,171.19182223459157,2870556.99994444
1318.2,165.29053209424913,1840351.9197162203
1006.6,145.38995838777862,1078674.1022110921
802.0,120.75760845594782,673789.7155061517
621.4,95.81774365951225,409238.4178689223
461.4,83.49035872482523,230297.5706879856
340.0,74.26439254447585,125778.83957707137
255.2,58.25255359209586,78508.39283462017
181.6,53.56342035381982,35332.48170419336
125.2,43.65959230226503,16762.080717956414
89.8,36.14083562952025,8673.396437652036
51.6,26.582701141908057,3629.573388573527
40.0,13.841965178398622,1548.1221454995684
17.6,10.8,364.2840480232611
10.8,9.064215354899728,214.57014171630144
4.8,3.867815921162743,10.30712963892147
1.8,2.227105745132009,3.281227247416973
2.2,2.85657137141714,-2.812358206510544
0.4,0.48989794855663565,-0.6795761423185468
0.0,0.0,0.0
0.2,0.4000000000000001,0.7872997310012578
