cov,delta
-5.980330482870386,0.08958492491503334
-99.11154282091593,0.00817350561408002
103.86636376846582,0.0028062525874782145
1363.567593773827,0.002851510101873151
12733.357682444155,0.0012193317805904867
20442.89636817947,0.0011032278250280145
36276.128450505435,0.0012894277853713729
62609.80623538792,0.0009939873140884876
69028.77748592198,0.001431894225410951
84171.25648322701,0.0013236275633525768
96004.87396033108,0.0011188504892832042
110545.38174681365,0.0010302230505271947
103291.83837161958,0.0006593711156685001
99049.97205358744,0.0012090722254517773
102675.80356407166,0.0008801785276542138
88533.4189157933,0.0005391941653044442
78390.67680485547,0.001039419533625426
66862.68123729527,0.001855848376028805
60749.24761240184,0.0010632034587517375
49139.05523530394,0.0020225803926049663
29365.056682370603,0.002173213964468021
23959.88530512154,0.002189939266137985
19729.340844575316,0.0028508684000895426
8289.838218461722,0.005042737374579112
-6206.807437857613,0.009550759602583501
-4242.396923496388,0.011041563896324658
-3978.453707673587,0.014781226809543184
-4746.333801780827,0.019792626075419748
-1210.9039329858497,0.017923404810611776
-3661.6323610569816,0.03641681513301248
-3183.7079716013977,0.04323562873499024
-1140.9546943914029,0.049923483324927596
-795.3929097338405,0.05252907228418975
-541.2193797867803,0.08925367079697728
-583.2004308056057,0.11724462372475176
-162.1457400602303,0.17148342586905296
-71.30470785325451,0.2656594214459118
-146.26445052260533,0.3544470794175849
-248.5770246712118,0.7697792874971754
-15.07377187839711,0.7533257298733383
-41.91361426807936,0.9045414534934889
-0.6877176983607995,0.4639321865295063
-2.91084621596616,1.7941669541980425
-0.236990855736658,9.590955181193882
-2.5792013124749062,7.339841488696711
0.020735108425142257,6.83976068893715
0.0,
-0.06638563325628638,60.43640075192605
