target_mean,target_std
27.3,4.9
351.0,21.52208168370337
1071.9,38.862449742650035
2185.8,86.83409468636152
3543.7,151.8539100583189
5165.4,157.30937670717535
6622.6,217.2400515558768
8059.2,299.6450566920803
9202.7,347.64753702564906
10220.5,414.54318231035955
10924.6,431.701795224435
11280.1,488.3198644331398
11497.4,418.2592975655174
11153.5,499.83682337338854
10867.3,465.5691248353997
10198.5,406.236445927738
9603.4,432.49305196731194
8776.7,456.1087699222632
8007.3,367.2770207894852
7086.3,377.57199313508414
6191.4,308.6276721228996
5441.7,268.6406707853448
4654.2,251.96737884099207
4035.6,232.59716249344058
3311.4,198.34979203417382
2702.9,187.39020785515982
2195.6,174.72103479547044
1766.2,146.28656807786558
1389.0,110.47171583713181
1073.5,118.24825580108994
853.5,104.56313882052318
642.0,74.29535651707985
465.1,52.07004897251394
336.0,46.52741127550511
253.5,39.67681942898145
172.5,36.57116350350368
124.7,34.29883379941656
80.0,19.879637823662684
52.2,19.671298889498882
31.8,12.09793370786929
17.6,8.260750571225355
11.2,4.770744176750625
4.3,1.6155494421403513
1.3,1.6763054614240214
1.4,2.2
0.3,0.45825756949558405
0.0,0.0
0.3,0.45825756949558405
