cov,delta
-4.029464665711885,0.10167007535934433
84.10328755766386,0.004693574210120658
-18.91305100917816,0.0017204293777848387
3067.719195438549,0.0004884386588850846
5536.512487797067,0.0007192468357711235
9738.98133179918,0.0007409832430759494
27951.110690392554,0.000385620545690875
47534.61643592268,0.0002718034911910912
48994.267380476,0.0001402721698529482
77473.17901928723,6.368550201994814e-05
88292.01806803048,0.0001492528723406033
90514.10111112893,0.00021290437653815513
110011.08504265547,0.00014196846697580776
106134.53079231083,0.000254346740215846
121301.3725180924,9.098674738392074e-05
121626.69463610649,0.00010921788494742263
134479.14536248147,8.780890437728962e-05
132524.03442969918,0.00020710698764711457
134714.76732434332,0.00027869194483805693
137973.68338841945,7.294177755234887e-05
140632.2999469489,0.00022221657427905737
121107.83002429083,0.0007435693831369817
122093.63844143972,0.00019372342821299612
107670.98186119832,0.0008778321326017389
87518.60136195272,0.0003347174377263465
71983.48789412528,0.0005458776096419829
57006.283318950795,0.0006947968125213567
40165.0690235598,0.0009528277120224131
27658.842511968687,0.003743161151556554
22253.039087857353,0.0025327629027798934
15209.194176010671,0.003166902756844829
10587.05602966377,0.007601265900757256
7298.0982519398385,0.013076689431365307
3748.4545879549987,0.03182149953831964
2308.7016535794683,0.0334603565961713
298.5392438924391,0.12833519391527878
342.8489044564503,0.15455212325353754
111.59060448206947,0.21578033328730362
254.13908074792425,0.4209193748082862
-40.494674455319,0.6530239540606841
-1.9715299351606461,1.9382388850214927
8.73790866525843,1.4548919567789012
2.043358323443691,3.0770243257175975
0.3679153655096887,33.542864509858084
-2.186851752484217,26.869161808524478
0.5691293277218938,1036.175036741166
0.0,
-0.9832306689023971,70.3368254432687
