target_mean,target_std,multiply_mean
32.8,4.621688003316537,980.0453740794212
356.6,7.7356318423254855,113094.07967642546
1061.4,24.418026128252055,1160589.9233016968
2191.6,84.6371077010551,4789205.095199013
3558.0,69.34839579975878,12712377.160130406
5205.2,177.50988704858105,27037373.191534616
6696.4,190.5073226939059,44927823.80788012
8192.2,181.8916160794664,66717610.351732254
9361.6,258.19109202294334,87682666.29718217
10351.4,316.6206563065651,107570447.24998379
10963.6,421.91401967699534,121379358.57766962
11487.2,304.04960121664357,131198843.16489401
11551.2,401.7727716010631,134704579.74065518
11290.6,356.2087028695397,128056317.81342697
11051.6,348.201435953386,121766156.72437744
10324.4,403.8547263559014,106455571.28017919
9763.0,356.5439664333138,94769018.36595753
9037.0,449.7221364353772,80733445.79192665
8149.4,371.81371679915196,65540813.53501855
7202.0,296.6020903500176,51958258.83189453
6315.8,307.5668382644657,39834950.25373991
5565.6,268.95694822777864,30846099.18539558
4712.2,293.24760868590215,22135033.444918126
4048.0,254.6958971008367,16563726.488131572
3311.6,237.37278698283845,11073746.450868934
2708.6,181.50107437698543,7447548.513498597
2157.6,145.24269344789775,4857796.876296334
1761.2,165.02775524135325,3155672.3434809656
1402.4,124.5015662552082,1961392.3429375205
1047.4,129.04665822871974,1187793.794091414
808.8,102.40195310637391,713319.3560065372
638.8,75.34825810859864,432619.2376247309
452.0,59.09653120107812,244129.74449951947
317.8,48.90971273683786,126400.3429380253
245.2,56.144100313390005,75620.49377052933
165.0,47.29904861622483,30013.386643370708
118.4,42.48576232104115,14745.400151492655
82.8,20.5854317418897,7379.467552936822
51.8,20.350921355064003,2010.8483146725223
38.6,18.564482217395668,500.32257628501395
15.2,7.0823724838503095,469.6074143474922
9.6,5.678027826631356,107.56154706515372
4.8,2.9257477676655586,-14.678346780128777
0.8,0.7483314773547883,1.2680050149559974
0.6,1.2000000000000002,1.8686897121369839
0.0,0.0,0.0
0.0,0.0,0.0
0.4,0.48989794855663565,-0.24430029205977916
