output_mean,output_std,multiply_mean
29.98327102996409,11.187081233634588,980.0453740794212
316.9697554469109,19.18656705034686,113094.07967642546
1093.6559040307998,47.40306178391298,1160589.9233016968
2184.35698056221,64.33135868426507,4789205.095199013
3570.8785447120667,155.68080085427152,12712377.160130406
5191.95526599884,93.59501943979112,27037373.191534616
6704.449522304535,190.6531915552157,44927823.80788012
8140.415981960296,190.43958628249726,66717610.351732254
9358.742035865784,286.3272970545745,87682666.29718217
10383.357508659363,294.32817508938905,107570447.24998379
11061.338309288025,283.9549856821273,121379358.57766962
11411.53004541397,383.54081184718893,131198843.16489401
11650.698586702347,362.9983754874073,134704579.74065518
11331.345995903015,352.2493283272892,128056317.81342697
11006.326921224594,390.29270068820307,121766156.72437744
10296.449682331086,387.85225802884867,106455571.28017919
9692.795822602511,391.53413726299397,94769018.36595753
8916.305099232495,353.7021863072273,80733445.79192665
8026.791761069,347.7390225781472,65540813.53501855
7199.414209793508,389.76300805994,51958258.83189453
6293.1392545059325,322.2255938834382,39834950.25373991
5527.037000100315,321.1092563416145,30846099.18539558
4679.01147114411,308.5871770491919,22135033.444918126
4076.4621959533542,249.10829470122857,16563726.488131572
3327.633645119518,229.03479427538994,11073746.450868934
2734.9782881807537,220.1963675521819,7447548.513498597
2239.2932446716354,186.315585306298,4857796.876296334
1777.1829131156205,161.26237983339695,3155672.3434809656
1387.44817426987,133.93286457825633,1961392.3429375205
1118.9440762499348,123.82062699891624,1187793.794091414
872.8458977099508,113.13602250231563,713319.3560065372
668.2262047491968,90.67037651529039,432619.2376247309
536.3868673503399,50.44082018309076,244129.74449951947
388.0358036417514,83.85971467694479,126400.3429380253
298.46826673075554,58.51106515279791,75620.49377052933
164.30292030470446,63.512775612334686,30013.386643370708
115.13104377090932,40.86964415774376,14745.400151492655
83.65990674002096,27.961886175169884,7379.467552936822
32.052879113238305,37.895990813097626,2010.8483146725223
24.093954108061734,29.78470232203757,500.32257628501395
24.064865640364587,22.382837468997867,469.6074143474922
11.499223710782825,9.734133416316169,107.56154706515372
-2.244406257010996,9.736282196028029,-14.678346780128777
-1.4369982343167067,5.900408996449752,1.2680050149559974
2.342497307807207,3.5072474820020036,1.8686897121369839
-3.356180893164128,5.21482617582647,0.0
5.827016692608595,6.093588716070062,0.0
-0.5852566804736853,2.141680919462474,-0.24430029205977916
