cov,delta,correlation,delta_root
-3.405915703400865,0.1387070113200108,-0.06587437065281893,0.37243390194772924
62.66488405704149,0.0023906340054972866,0.4222125831034935,0.04889411013094815
-216.4532365940977,0.002952451197614935,-0.18700238098975927,0.05433646287360758
1968.3365988740698,0.0015263088503281814,0.36150626661807633,0.03906800289659278
7191.298044871539,0.0011569249591017944,0.666094445766934,0.034013599619884316
12207.640957452357,0.0005815464039284033,0.7347785355568183,0.02411527325012933
32148.026720032096,0.00018633615642648727,0.8851126895728781,0.013650500226236666
29694.544317103922,0.00014782976240321124,0.8572485401005149,0.012158526325308148
69866.85422104597,0.00010171451985087972,0.9450769728118508,0.010085361661878057
88160.33484725654,9.922998581651733e-05,0.9460239874450823,0.009961424888865917
107269.88995942473,0.0003775152800434085,0.8953737956275483,0.019429752444213192
112315.22721463442,0.0001150767432529661,0.9631249171323031,0.010727382870624413
125030.22593900561,0.00032801886836664683,0.8572940973513536,0.018111291184414402
118622.71208436787,0.0001080980848011889,0.9453946701574468,0.010397022881632459
128634.12177170813,0.00013400405531408324,0.946531777422362,0.0115760120643546
150906.17992015183,0.00010930181853681777,0.963419719602977,0.010454751003099871
138252.74988919497,4.28438335811146e-05,0.9903553527648322,0.006545520115400654
156796.61016258597,0.00015408815463868525,0.9857224773845894,0.012413224989449165
127276.75736284256,6.498147378672815e-05,0.9843969639918911,0.008061108719445988
108077.69296168536,0.0004578294248289566,0.9348915615139798,0.021396948960750378
88741.35013134032,0.000524029583284691,0.8954193822687756,0.02289169245129532
84822.05763726681,0.0001930969890560994,0.9821395732757557,0.013895934263521089
86595.59059285372,0.0003621627692980602,0.9569371690898993,0.019030574591905002
62207.51891239546,0.00015565147637653428,0.9804664616942912,0.012476036084291127
53954.871691139415,8.366303626004996e-05,0.9924263144231826,0.009146750038131028
39586.32213220745,0.0002903502289024959,0.9905030196204626,0.01703966633776894
26297.771592813544,0.0006121459195581793,0.9717968114768636,0.024741582802201224
25697.79690173501,0.0006042407303808103,0.965619073213983,0.024581308557129547
15635.023341454798,0.001105000509332394,0.9376409392906692,0.03324154793827138
15811.768627232173,0.0005046984824346734,0.989556712820992,0.022465495374789167
7361.593938729027,0.013946689489125835,0.6354226801807036,0.11809610276857503
5756.3380309440545,0.005858305645516003,0.8425732232075109,0.07653956914900947
1682.8804571658256,0.016976209633889634,0.5645587432037101,0.13029278427407112
3082.5645406767,0.030408449458459635,0.75156004858863,0.17438018654210585
2436.0747681480716,0.636702052302462,0.7415637338815231,0.0
2903.4047930944726,0.15625143938560582,0.9664827155911545,0.0
1113.8845690169928,0.4695627196153942,0.6414988999072307,0.0
452.4272748630874,0.10919458923222236,0.7859996186039901,0.0
350.5091766067783,0.42043513645348607,0.4544876120790065,0.0
-429.70405228616886,0.778412159888854,-0.7771294092947659,0.0
103.82145661395049,0.12415564099019975,0.6549274790742801,0.0
-2.8310005583613815,0.049094026099610576,-0.0512206569118843,0.0
-3.905196746475994,0.04078855019028685,-0.13709224344599136,0.0
2.417603602409363,0.011096671617280254,0.5475313165753863,0.0
0.4631913274526598,0.004692518462479165,0.11005575593339205,0.0
0.0,0.009914956938757212,,0.0
0.0,0.01353809120323769,,0.0
-0.010197619870304986,0.0017724639491627624,-0.009719377058038166,0.0
