cov,delta
-24.4385481637903,0.13290411009907138
-1.7608275324164424,0.0022690396934552043
95.51803535223007,0.0022221449616301133
991.6596337230876,0.0016069608357352015
2017.6628532074392,0.0006594038510515741
4943.05798054114,0.0010481221551842325
18058.51844739169,0.00033425642767284354
22621.596786245704,0.0006601761678507568
39182.77897389233,0.0005932491559236472
49262.55253620446,0.0004448452715643899
61682.88468837738,0.0002623134243012633
80481.17594073713,0.00025725443045684655
81004.9168227464,0.0004324591440200752
110534.9477071464,0.00011684239096727291
110140.67103016376,0.00011089244350632023
104368.99893973768,0.0001490516775694596
100400.79716382921,0.0002724284064383126
112017.17587195337,0.00010156742274066224
105479.94511961192,0.00031224319933063297
86205.28218888491,0.0001121404677991984
85563.4691401869,0.00014263772586473305
63068.29063601047,0.0003962771955225994
59566.200409214944,0.0005275235806776486
47464.411013176665,0.0005647239337692274
51992.00635599159,0.0004676640345980046
40331.656358101405,0.0008191763012049443
30108.882299603894,0.00107894935464041
29199.09604987083,0.0017614311827494102
21999.00582566671,0.0018036923895642654
18269.75726303947,0.0022088838666309216
13107.39642674895,0.006288792525156982
8170.95572002657,0.012473766042782199
4526.870377436746,0.031280354371783156
3210.036743565928,0.03613478923468268
2859.79080794318,0.049639619879319516
680.3711685135422,0.12435980526912752
683.5858293082165,0.1828690938358632
-92.91445141979602,0.37231532592819083
227.83652415966571,0.4404806780541676
38.965275991158705,1.525239444177097
-24.967587945563764,2.1417097784087384
-8.601919690519566,2.1264830807407353
-13.18680496773217,6.6241719779105726
-0.4707328158337618,4.078375244227451
3.662318113259971,10.65123905443481
0.19193697112612426,296.1997023543401
0.0,
0.35973483568523057,59.97667412624456
