target_mean,target_std
31.0,4.69041575982343
343.3,11.1
1073.8,36.632772212869725
2183.8,77.7814888003566
3558.3,59.769641123232454
5182.6,162.363296344956
6601.4,150.9173283622527
8024.6,207.24391426529272
9260.5,265.48681699850937
10184.8,292.4256486698799
10851.9,296.9597447466575
11323.6,310.78841677256895
11449.5,350.98354662291507
11034.8,362.55063094690655
10819.2,342.284034100336
10158.2,337.4491961762541
9572.6,342.65206843093773
8756.0,324.3004779521609
7921.2,292.6133284729183
7019.5,310.69188917639934
6144.2,311.20726212606286
5392.0,270.00296294670545
4594.5,251.06144666196758
3954.7,239.81536648013193
3215.1,235.0648633888102
2668.2,207.98403784906188
2159.5,179.81671223776726
1712.0,185.28572530014287
1365.1,156.12459767762414
1065.1,132.37178702427494
814.3,130.1130662155035
651.7,97.69344911507628
463.6,81.56616945768631
344.3,76.4016361081358
260.6,61.32568792928457
173.9,41.946275162402685
124.7,35.78840594382488
83.2,21.075103795711186
54.1,15.129111011556494
36.7,15.799050604387594
18.1,8.94930164873215
11.5,6.360031446463139
4.7,3.2878564445547194
1.6,1.4966629547095767
1.6,1.6852299546352718
0.2,0.4000000000000001
0.0,0.0
0.8,0.7483314773547882
