,0
0,0.0
1,122.0
2,3850.0
3,13820.0
4,23984.0
5,30574.0
6,31711.0
7,28373.0
8,23008.0
9,16681.0
10,11209.0
11,6885.0
12,3740.0
13,1922.0
14,909.0
15,356.0
16,143.0
17,25.0
18,4.0
19,0.0
