output_mean,output_std
30.45998008903116,6.875817600536856
339.02270671129224,12.645656958566116
1061.1672148346902,28.336153387067235
2178.125461483002,58.068474064747505
3508.95690472126,94.31498206295868
5108.896977281571,177.87103858703952
6614.388562393188,255.037813767999
8047.692676830292,264.9326895978836
9256.229142522812,330.5684181775413
10249.456113481521,379.6434694247871
10929.723070240021,427.3996119503088
11321.464824056626,423.3640642388101
11503.45823984146,414.5396377994797
11183.835357117652,426.2404884939607
10878.629931664467,490.26111665706475
10154.649977469444,454.4312614939698
9529.22174654007,457.07649867089697
8744.141595406085,376.0339714935041
7842.576165062562,354.7843183097788
6946.661407345254,331.17669194339976
6054.5956740604715,331.36884962217084
5268.460396945849,329.4172407657539
4462.516883720737,298.0783735521311
3846.2375658920037,266.1514785958389
3125.4527360326147,272.8931828039876
2568.8763068362605,230.91736494736548
2069.475775051024,240.6259921761968
1669.049781813193,190.06315422289111
1323.9051365504042,176.9202447621287
1033.0957951175048,164.09976155782604
811.9521833844483,135.8022484690367
677.7766022602096,106.17639647107508
532.3065661134199,101.92134295841791
393.2918485559523,80.99766813554608
309.3205923005007,72.03430733325084
231.76953756464644,59.09312006953051
161.92931184563787,58.418719897302516
117.60896619497798,34.61642489416149
84.05142741054297,30.652956695340556
45.899447314767166,20.820243814464828
19.018220398202537,15.710837701211087
8.910428519546986,13.54801009667466
6.6269410493317995,11.890789832786274
0.17378610353916885,6.887575604914287
2.1954589447937907,6.05379163641357
3.0728066047653555,4.877008503735988
0.37207898856140675,2.48111837340679
-0.47461771783418955,3.4616280188082174
