target_mean,target_std,multiply_mean
32.5,4.716990566028302,999.4303838333115
348.4,23.191377708105225,117986.74559235573
1066.9,37.2651311550087,1132708.0558083535
2209.9,78.76223714445902,4814830.190442967
3542.9,83.57086812998892,12436779.98906536
5187.4,119.04721752313239,26518372.50534711
6657.0,190.2918810669546,44069459.689702176
8110.8,271.7085939016284,65340451.5630817
9297.9,326.4332856802443,86163804.10847755
10290.0,380.2259854349779,105603960.97262378
10936.8,400.4199795215019,119697344.4911345
11290.9,444.0624843420124,128009537.80519843
11479.6,428.508623017087,132229933.35476685
11141.6,482.36940201467996,124803458.2261653
10750.1,480.0078020199255,117174249.22813399
10098.7,487.3503975580609,102757254.30177927
9487.3,443.3477303426736,90603445.71079178
8699.8,485.1762154104424,76252249.4392328
7886.6,449.17239452130184,62006413.07719232
6953.0,407.9161678580539,48428320.23061665
6048.9,364.6690143129794,36739005.14423246
5302.0,341.30250511826017,28039051.993159615
4468.7,298.7641377407938,20027796.575447485
3893.5,284.4546536796331,15044936.946875077
3151.1,239.44412709440172,9911539.690550258
2573.8,224.40178252411454,6660844.496852597
2054.8,192.28562088726238,4296391.571654031
1653.4,176.28851352257752,2791169.8681179653
1335.9,163.86241179721478,1795672.5003034808
1001.4,158.91268042544624,1058159.8809322412
784.9,116.23807465714495,651385.0648427454
605.3,123.68835838509622,422442.5921538478
452.8,106.23916415333848,250140.80390726365
329.8,86.02069518435665,134906.17972982675
247.8,79.90844761350328,80180.19230619437
174.4,64.02218365535495,42172.34552085083
132.7,59.01364249052925,21923.736514050328
89.5,40.70933553866975,10434.863842995139
63.8,33.98470244095128,5246.627710662037
44.5,25.586129054626454,2153.99094151631
23.0,14.966629547095765,434.80601601973177
14.3,9.849365461794987,133.62162765972317
6.3,3.8223029707232783,38.05150913964026
2.3,2.2825424421026654,2.666846336890012
3.0,3.0,2.1893810547888277
0.4,0.4898979485566356,0.5823256926611066
0.0,0.0,0.0
0.9,0.7000000000000001,-0.3298325289506465
