target_mean,target_std,multiply_mean
33.0,5.176871642217914,917.083539891988
355.4,13.865064009949611,125184.02408376933
1096.6,31.264036847470607,1160037.8979361057
2218.4,61.71093906269778,4862448.145309448
3592.4,70.8367136448325,12675267.515949154
5271.2,105.62651182350007,27597366.389688205
6722.6,123.52101035856208,44752879.48069687
8186.0,178.8988541047706,66552108.37369261
9324.2,113.75306589274858,87117782.9657445
10309.0,161.39268880590595,106775496.01233149
11063.4,187.76005965060835,122143283.68408117
11516.6,263.25926384459865,131327233.77173786
11464.0,235.02085013887597,132569878.82339534
11257.0,257.4622302396994,126248347.58529702
10877.8,223.59194976563893,118798459.70006064
10251.4,146.0378033250295,105266419.16228037
9591.0,195.22192499819275,93069243.63816452
8875.2,99.33055924538027,78674016.20726453
7983.2,129.47802902423254,63414250.07653429
7066.4,73.97729381371016,49477076.42002036
6171.0,112.01785571952357,37774848.29945686
5415.4,80.66126703691184,29083945.466412924
4592.6,122.92208914593016,21018371.17089878
3988.6,89.42840711988556,15702950.408686927
3220.2,86.25404338348434,10258721.317174444
2662.2,120.41993190497992,6998177.4252482625
2154.0,104.17869263913806,4624889.880324817
1714.6,96.85163911880893,2969534.594173178
1329.8,87.49948571277434,1845943.1851478568
1024.8,103.72540672371451,1089546.5458190679
796.4,87.28023831314852,673088.8027929135
633.4,81.73273517997546,431465.90059428586
454.8,67.2321351735909,224198.0194849843
337.4,57.27337950566563,118442.40492635519
255.2,38.415621822378455,66630.64356168732
174.6,31.746495869623157,30263.620546877384
111.6,24.61381725779242,15268.724313150346
76.8,12.796874618437112,6339.684341330826
48.2,8.182909018191515,2364.529815323185
36.0,9.486832980505138,1195.636379557848
16.4,5.782732917920384,247.5666060127318
9.8,4.791659420284375,98.14089182745666
5.0,2.449489742783178,25.900011649169027
0.8,0.9797958971132713,-1.5910100847482682
0.6,1.2000000000000002,-0.5153006449341774
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
