cov,delta,correlation,delta_root
0.0,,,
0.0,0.0,,0.0
0.0,0.0,,0.0
0.0,0.0,,0.0
0.0,0.0,,0.0
-2.9103830456733704e-11,3.586857364658933e-11,-inf,5.989037789711243e-06
0.0,0.0,,0.0
5.820766091346741e-11,-2.4000723785242767e-11,inf,
0.0,0.0,,0.0
0.0,0.0,,0.0
0.0,0.0,,0.0
0.0,0.0,,0.0
1.1641532182693481e-10,-4.275109983302267e-12,inf,
0.0,0.0,,0.0
0.0,0.0,,0.0
1.1641532182693481e-10,-2.992675474004779e-12,inf,
0.0,0.0,,0.0
0.0,0.0,,0.0
0.0,0.0,,0.0
0.0,0.0,,0.0
0.0,0.0,,0.0
0.0,0.0,,0.0
0.0,0.0,,0.0
0.0,0.0,,0.0
0.0,0.0,,0.0
0.0,0.0,,0.0
0.0,0.0,,0.0
1.4551915228366852e-11,-3.1500675204141696e-11,inf,
0.0,0.0,,0.0
0.0,0.0,,0.0
0.0,0.0,,0.0
0.0,0.0,,0.0
0.0,0.0,,0.0
0.0,0.0,,0.0
0.0,0.0,,0.0
-4.547473508864641e-13,2.4036313837043702e-09,-inf,0.0
0.0,0.0,,0.0
0.0,0.0,,0.0
0.0,0.0,,0.0
0.0,0.0,,0.0
0.0,0.0,,0.0
0.0,0.0,,0.0
0.0,0.0,,0.0
0.0,0.0,,0.0
0.0,0.0,,0.0
0.0,0.0,,0.0
0.0,0.0,,0.0
0.0,0.0,,0.0
