output_mean,output_std,multiply_mean
21.552237919718028,15.882576075191732,635.399159685336
340.4220923423767,28.99038944324363,114761.28819058239
1038.1704504847526,31.512631296860413,1096156.2002217888
2115.8728872060774,29.378421683803904,4585800.315189267
3462.018945980072,69.47755906590504,12081514.521134377
5029.504922199249,67.013290859119,25812731.085701037
6470.798263216018,102.33839907062291,42197057.90932727
7920.293648386001,166.15741854313532,62651106.29989286
9065.502886676788,161.67407484439926,82850640.71232224
10038.417120313645,215.26636632054706,101500522.4423728
10683.320278406143,247.98184863728846,114148699.8163217
11082.251474094392,272.52206919694896,122724873.61262569
11249.183892035484,277.1680322498205,126422367.54662022
10914.94531621933,318.85374576604124,119528487.30812475
10643.708412766457,345.69113874362904,112982143.84449773
9967.253683292865,319.93518309079326,99251192.03824352
9354.58694306165,324.24801172957746,87160901.52444273
8573.606667897106,260.7383512045379,73783541.19751595
7706.9938064910475,319.4252699710051,60081729.67870005
6866.934193820506,307.38874952095347,47555232.28823059
5966.3138842884455,291.4189926728355,36167293.5235336
5290.665027396753,249.91992628998224,28004391.92124771
4482.947042885609,280.637513357187,20197126.31903587
3902.557312984951,248.94761593066914,15089982.19547165
3153.296876495611,218.1809676197864,10098888.860066175
2630.756228259858,215.85825112318562,6873167.829110739
2103.668758783862,162.35362767002826,4447658.073530072
1705.1661085772328,184.18726007808357,2916269.056457133
1342.9745309454388,131.8147412940816,1810807.6602407624
1019.0673930335091,113.61493627534558,1038928.7426773593
801.6387735946803,96.95714731832237,644796.9806465937
645.2627877362072,126.67764145354474,417141.0704438241
496.2058362820186,99.00487727821104,235519.16106170864
363.29672161680645,72.80205000844356,122432.79112395695
269.57802796773615,90.2909437377533,71574.86762273237
195.7541838615667,50.66952705353143,36918.9759744585
144.26958820968866,64.67706365072682,20572.79731689468
90.14754689610564,32.35020901510606,8431.481533347443
68.6376170960255,30.335163872776743,4728.2413712315265
36.19794537127018,32.69557257120554,1186.1171399362386
25.526122615626083,20.17226681335803,693.9226546061691
12.23531738575548,13.226886731227603,154.24210338378325
6.021349144726992,11.712719749255703,54.24516660384834
0.8826688477769494,6.913755715976022,5.708789275586605
3.7895715085789563,5.827651073797702,6.503916783444583
-2.160879245586693,4.714485680790247,-0.23328384663909674
-0.288336799107492,6.95635795395107,0.0
0.8786010099574924,4.064973460961932,0.11202086191624402
